Drug Name	Drug Indications	Disease Name	Disease Gene Names	Disease Gene Entrez Gene IDs
Abacavir	For the treatment of HIV-1 infection, in combination with other antiretroviral agents.	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Abacavir	For the treatment of HIV-1 infection, in combination with other antiretroviral agents.	Viral infection	FCGR3A;OAS1	2214;4938
Abarelix	For palliative treatment of advanced prostate cancer	Prostate cancer	RNASEL;BRCA2;PTEN;AR;CHEK2;MSR1;EPHB2;KLF6;MAD1L1;ATBF1;ELAC2;MXI1	6041;675;5728;367;11200;4481;2048;1316;8379;463;60528;4601
Abciximab	For treatment of myocardial infarction, adjunct to percutaneous coronory intervention, unstable angina	Myocardial infarction	F7;APOE;ACE;ALOX5AP;LGALS2;LTA;OLR1;THBD;GCLM;TNFSF4	2155;348;1636;241;3957;4049;4973;7056;2730;7292
Acamprosate	For the maintenance of abstinence from alcohol in patients with alcohol dependence who are abstinent at treatment initiation	Alcohol dependence	HTR2A	3356
Acebutolol	For the management of hypertension and ventricular premature beats in adults.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Acetazolamide	For adjunctive treatment of: edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies; chronic simple (open-angle) glaucoma	Congestive heart failure	ADRA2C;ADRB1	152;153
Acetazolamide	For adjunctive treatment of: edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies; chronic simple (open-angle) glaucoma	Epilepsy	KCNQ2;KCNQ3;GABRG2;CLCN2;JRK;CACNB4;SCN1A;ME2;GABRA1;EPM2A;NHLRC1;SLC25A22;CHRNA4;CHRNB2;LGI1;CSTB;SYN1	3785;3786;2566;1181;8629;785;6323;4200;2554;7957;378884;79751;1137;1141;9211;1476;6853
Acetazolamide	For adjunctive treatment of: edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies; chronic simple (open-angle) glaucoma	Glaucoma	MYOC;OPTN;CYP1B1;OPA1	4653;10133;1545;4976
Acetohexamide	Used in the management of diabetes mellitus type 2 (adult-onset).	Diabetes mellitus	ABCC8;TCF1;SUMO4;PTPN22;INSR;PPARG;GCK;GCGR;GPD2;HNF4A;IRS2;MAPK8IP1;NEUROD1;TCF2;IRS1;SLC2A2;SLC2A4;CAPN10;ENPP1;RETN;PTF1A;KCNJ11;AKT2;IPF1;FOXP3;ACE;VEGF	6833;6927;387082;26191;3643;5468;2645;2642;2820;3172;8660;9479;4760;6928;3667;6514;6517;11132;5167;56729;256297;3767;208;3651;50943;1636;7422
Acetohydroxamic Acid	Used, in addition to antibiotics or medical procedures, to treat chronic urea-splitting urinary infections.	Chronic infections, due to opsonin defect	MBL2	4153
Acrosoxacin	For the treatment of Bacterial infection of respiratory tract, urinary tract, GI, CNS and immuno compromised patients	Urinary tract infection		
Adalimumab	For treatment of rheumatoid arthritis	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Adenosine	For controlling paroxysmal supraventricular tachycardia (PSVT). This drug can also be used diagnostically for stable, wide complex tachyardias of unknown type.	Ventricular tachycardia	GNAI2;CASQ2;RYR2	2771;845;6262
Adinazolam	For treatment of panic disorder	Panic disorder syndrome		
Agalsidase beta	For treatment of Fabry's disease (alpha-galactosidase A deficiency)	Fabry disease	GLA	2717
Albuterol	For relief and prevention of bronchospasm due to asthma; Emphysema; Chronic bronchitis	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
